movie_id,movie_name,release_date,genre,mpaa,open_theater,prod_budget,country_usa,opening_weekend,us_total_gross,user_rating,votes_user,metascore,votes_critic,MPAA1,MPAA2,MPAA3,MPAA4,MPAA5,MPAA6,genre_type
542,12 Years a Slave,10/18/2013,Drama,R,.019,20,1,.923715,56.66787,8.199999999999999,310.646,97,14,0,0,0,0,1,0,5
543,2 Guns,8/2/2013,Action Comedy,R,3.025,61,1,27.05913,75.5733,6.8,130.266,55,1,0,0,0,0,1,0,4
544,21 and Over,3/1/2013,Comedy,R,2.771,13,1,8.754168,25.675765,5.9,50.792,34,27,0,0,0,0,1,0,4
545,42,4/12/2013,Sports Drama,PG-13,3.003,40,1,27.487144,95.00134300000001,7.5,57.175,62,20,0,0,0,1,0,0,5
546,47 Ronin,12/25/2013,Action Drama,PG-13,2.688,175,1,9.869,38.297305,6.3,97.181,28,22,0,0,0,1,0,0,5
550,Admission,3/22/2013,Comedy / Drama,PG-13,2.16,13,1,6.154984,18.004225,5.7,24.633,48,3,0,0,0,1,0,0,4
551,After Earth,5/31/2013,Sci-Fi,PG-13,3.401,130,1,27.52004,60.522097,5,137.404,33,14,0,0,0,1,0,0,2
554,All Is Lost,10/18/2013,Drama,PG-13,.006,9,1,.093583,6.262942,6.9,48.312,87,22,0,0,0,1,0,0,5
557,American Hustle,12/13/2013,Drama,R,.006,40,1,.740455,150.117807,7.3,290.156,90,14,0,0,0,0,1,0,5
558,Anchorman 2: The Legend Continues,12/18/2013,Comedy,PG-13,3.45,50,1,26.776,2.175312,6.4,102.621,61,1,0,0,0,1,0,0,4
564,Baggage Claim,9/27/2013,Romantic Comedy,PG-13,2.027,8.5,1,9.031102000000001,21.564616,5,5.678,34,28,0,0,0,1,0,0,4
565,Battle of the Year,9/20/2013,Drama,PG-13,2.008,20,1,4.603177,8.888355000000001,4.9,6.812,29,20,0,0,0,1,0,0,5
570,The Best Man Holiday,11/15/2013,Comedy / Drama,R,2.024,17,1,30.107555,70.49268499999999,6.7,9.993,59,22,0,0,0,0,1,0,4
573,The Big Wedding,4/26/2013,Romantic Comedy,R,2.633,35,1,7.591663,21.784432,5.6,31.349,28,67,0,0,0,0,1,0,4
574,Black Nativity,11/27/2013,Musical,PG,1.516,17.5,1,3.66953,7.017178,4.2,1.317,48,30,0,0,1,0,0,0,7
576,The Bling Ring,6/14/2013,Crime,R,.005,15,1,.212537,5.841046,5.6,56.302,66,14,0,0,0,0,1,0,5
580,Broken City,1/18/2013,Crime Thriller,R,2.62,35,1,8.268908,19.692608,6.2,56.133,49,5,0,0,0,0,1,0,6
581,Bullet to the Head,2/1/2013,Action Thriller,R,2.404,55,1,4.548201,9.483821000000001,5.7,34.672,48,24,0,0,0,0,1,0,6
583,The Call,3/15/2013,Thriller,R,2.507,13,1,17.118745,51.872378,6.7,76.006,51,1,0,0,0,0,1,0,6
